iter	Passed	Remaining
0	147	146854
1	148	73890
2	149	49533
3	149	37309
4	150	29977
5	151	25119
6	152	21641
7	153	19025
8	154	16998
9	155	15383
10	156	14065
11	157	12961
12	158	12021
13	159	11215
14	160	10515
15	161	9925
16	162	9384
17	163	8905
18	164	8467
19	164	8078
20	165	7735
21	166	7417
22	167	7125
23	168	6856
24	169	6610
25	170	6382
26	171	6175
27	172	5979
28	173	5793
29	173	5619
30	174	5457
31	175	5307
32	176	5172
33	177	5041
34	178	4914
35	179	4797
36	180	4685
37	180	4580
38	182	4484
39	182	4390
40	183	4300
41	184	4212
42	185	4127
43	186	4046
44	187	3975
45	188	3903
46	189	3833
47	189	3767
48	190	3705
49	192	3660
50	193	3605
51	194	3547
52	195	3489
53	196	3435
54	197	3385
55	197	3337
56	198	3287
57	199	3239
58	200	3194
59	201	3149
60	202	3110
61	202	3070
62	203	3029
63	204	2992
64	205	2954
65	206	2917
66	206	2881
67	208	2850
68	208	2817
69	209	2785
70	210	2752
71	211	2721
72	211	2690
73	212	2662
74	213	2634
75	214	2605
76	215	2578
77	215	2551
78	216	2525
79	217	2499
80	218	2478
81	219	2456
82	219	2429
83	220	2407
84	221	2385
85	222	2364
86	223	2343
87	224	2325
88	225	2305
89	226	2286
90	227	2267
91	227	2249
92	228	2230
93	229	2214
94	230	2197
95	231	2181
96	232	2165
97	233	2148
98	234	2132
99	235	2118
100	236	2102
101	237	2086
102	237	2072
103	238	2057
104	239	2043
105	240	2030
106	241	2016
107	242	2002
108	243	1988
109	244	1974
110	244	1961
111	246	1951
112	247	1939
113	248	1927
114	248	1914
115	249	1902
116	250	1889
117	251	1879
118	252	1867
119	253	1856
120	254	1845
121	254	1833
122	255	1822
123	256	1812
124	257	1802
125	258	1792
126	259	1781
127	260	1771
128	260	1761
129	261	1752
130	262	1742
131	263	1733
132	264	1724
133	265	1714
134	266	1705
135	266	1696
136	268	1688
137	268	1680
138	269	1671
139	270	1662
140	271	1653
141	272	1643
142	273	1637
143	274	1629
144	275	1622
145	276	1614
146	277	1607
147	278	1602
148	279	1595
149	280	1587
150	281	1579
151	281	1572
152	282	1565
153	283	1558
154	284	1552
155	285	1545
156	286	1537
157	287	1530
158	287	1523
159	288	1516
160	289	1508
161	290	1503
162	291	1496
163	292	1489
164	293	1483
165	293	1476
166	294	1470
167	295	1465
168	296	1458
169	297	1452
170	298	1446
171	299	1440
172	300	1434
173	300	1428
174	301	1422
175	302	1417
176	303	1412
177	304	1406
178	306	1403
179	307	1398
180	307	1393
181	308	1388
182	309	1382
183	310	1377
184	311	1372
185	312	1366
186	313	1361
187	313	1355
188	314	1351
189	315	1347
190	317	1343
191	318	1339
192	319	1334
193	320	1329
194	321	1325
195	321	1320
196	322	1316
197	323	1312
198	324	1307
199	325	1302
200	326	1299
201	327	1295
202	328	1291
203	329	1287
204	330	1282
205	331	1278
206	332	1273
207	333	1270
208	334	1267
209	335	1262
210	336	1258
211	337	1254
212	338	1249
213	339	1246
214	340	1242
215	341	1238
216	341	1233
217	342	1229
218	343	1225
219	344	1221
220	345	1218
221	346	1214
222	347	1210
223	348	1206
224	349	1203
225	350	1200
226	351	1196
227	352	1193
228	353	1190
229	354	1186
230	355	1184
231	356	1180
232	357	1177
233	358	1173
234	359	1169
235	360	1166
236	361	1163
237	362	1159
238	363	1156
239	363	1152
240	364	1149
241	365	1146
242	366	1142
243	367	1139
244	368	1135
245	369	1132
246	370	1128
247	371	1126
248	372	1123
249	373	1119
250	374	1116
251	375	1113
252	375	1110
253	376	1107
254	377	1103
255	378	1101
256	379	1097
257	380	1094
258	381	1091
259	382	1088
260	383	1085
261	384	1082
262	385	1079
263	386	1077
264	387	1074
265	388	1072
266	389	1069
267	390	1066
268	391	1063
269	392	1060
270	393	1057
271	394	1054
272	394	1051
273	395	1048
274	396	1045
275	397	1042
276	398	1039
277	399	1036
278	400	1034
279	401	1031
280	402	1028
281	403	1026
282	404	1023
283	404	1020
284	405	1018
285	406	1015
286	407	1012
287	408	1010
288	409	1007
289	410	1005
290	411	1002
291	412	999
292	413	997
293	414	994
294	415	992
295	416	990
296	417	987
297	417	984
298	418	981
299	419	979
300	420	977
301	421	974
302	422	972
303	423	969
304	424	966
305	425	964
306	426	961
307	427	959
308	427	956
309	428	954
310	429	952
311	430	949
312	431	947
313	432	945
314	433	942
315	434	940
316	435	937
317	436	935
318	436	932
319	437	930
320	438	927
321	439	925
322	440	923
323	441	921
324	442	919
325	443	916
326	444	914
327	445	911
328	445	909
329	446	906
330	447	904
331	448	902
332	449	899
333	450	897
334	450	895
335	451	892
336	452	890
337	453	887
338	454	886
339	455	883
340	456	881
341	457	879
342	458	877
343	459	875
344	460	873
345	461	871
346	461	869
347	462	867
348	463	864
349	464	862
350	465	860
351	466	858
352	467	856
353	468	854
354	468	852
355	469	850
356	470	848
357	471	845
358	472	844
359	473	841
360	474	839
361	475	838
362	476	836
363	477	834
364	478	832
365	479	830
366	480	827
367	481	826
368	482	825
369	483	823
370	484	821
371	485	819
372	486	817
373	487	816
374	488	814
375	489	812
376	490	810
377	491	808
378	492	806
379	493	804
380	494	803
381	495	800
382	496	799
383	497	797
384	498	795
385	499	794
386	500	792
387	501	790
388	501	788
389	502	786
390	503	784
391	504	782
392	505	780
393	506	779
394	507	777
395	508	775
396	509	773
397	510	772
398	511	770
399	512	768
400	513	766
401	514	764
402	515	763
403	516	761
404	516	759
405	517	757
406	518	755
407	519	754
408	520	752
409	521	750
410	522	748
411	523	746
412	524	745
413	525	743
414	526	741
415	527	740
416	528	738
417	529	736
418	530	735
419	531	733
420	532	731
421	532	729
422	534	728
423	535	727
424	536	725
425	537	723
426	538	722
427	539	720
428	539	718
429	540	716
430	541	715
431	542	713
432	543	712
433	544	710
434	545	708
435	546	706
436	547	705
437	548	703
438	549	701
439	550	700
440	550	698
441	551	696
442	553	695
443	554	694
444	555	692
445	556	691
446	557	689
447	558	688
448	559	686
449	560	684
450	561	683
451	562	681
452	563	680
453	564	678
454	565	676
455	566	675
456	567	673
457	567	672
458	569	670
459	569	669
460	570	667
461	571	665
462	572	664
463	573	662
464	574	660
465	575	659
466	576	657
467	577	656
468	577	654
469	578	652
470	579	651
471	580	649
472	581	648
473	582	646
474	583	645
475	584	643
476	585	642
477	586	640
478	587	639
479	588	637
480	589	636
481	590	634
482	591	633
483	592	631
484	593	630
485	594	628
486	595	627
487	596	625
488	597	624
489	598	622
490	599	621
491	600	619
492	600	618
493	602	616
494	602	615
495	603	613
496	604	612
497	605	610
498	606	609
499	607	607
500	608	606
501	609	604
502	610	603
503	611	601
504	612	600
505	613	598
506	614	597
507	615	595
508	616	594
509	616	592
510	617	591
511	618	589
512	619	588
513	620	586
514	621	585
515	622	583
516	623	582
517	624	581
518	625	579
519	626	578
520	627	576
521	628	575
522	629	573
523	630	572
524	630	570
525	631	569
526	632	567
527	633	566
528	634	565
529	635	563
530	636	562
531	637	560
532	638	559
533	639	557
534	640	556
535	641	554
536	641	553
537	642	551
538	643	550
539	644	548
540	645	547
541	646	545
542	646	544
543	647	542
544	648	541
545	649	539
546	650	538
547	651	537
548	652	536
549	653	534
550	654	533
551	655	531
552	656	530
553	657	529
554	658	527
555	659	526
556	660	525
557	661	523
558	662	522
559	663	521
560	664	519
561	665	518
562	666	517
563	667	516
564	668	514
565	669	513
566	670	512
567	671	510
568	672	509
569	673	508
570	674	506
571	675	505
572	676	504
573	677	502
574	679	501
575	680	500
576	680	499
577	681	497
578	682	496
579	683	495
580	684	493
581	685	492
582	686	490
583	687	489
584	687	488
585	688	486
586	689	485
587	690	483
588	691	482
589	692	481
590	693	479
591	694	478
592	695	477
593	696	475
594	696	474
595	697	473
596	698	471
597	699	470
598	700	469
599	701	467
600	702	466
601	703	465
602	704	463
603	705	462
604	706	461
605	707	459
606	708	458
607	709	457
608	710	455
609	711	454
610	712	453
611	713	452
612	713	450
613	714	449
614	715	448
615	716	446
616	717	445
617	718	444
618	719	442
619	720	441
620	721	440
621	722	439
622	723	437
623	724	436
624	724	434
625	725	433
626	726	432
627	727	431
628	728	429
629	729	428
630	730	427
631	731	426
632	732	424
633	733	423
634	734	422
635	735	420
636	736	419
637	737	418
638	738	417
639	739	415
640	740	414
641	741	413
642	741	411
643	742	410
644	743	409
645	745	408
646	745	406
647	746	405
648	747	404
649	748	403
650	749	401
651	750	400
652	751	399
653	752	398
654	753	396
655	754	395
656	755	394
657	756	392
658	756	391
659	757	390
660	758	389
661	759	387
662	760	386
663	761	385
664	762	384
665	763	382
666	764	381
667	765	380
668	766	379
669	767	377
670	768	376
671	769	375
672	769	374
673	771	372
674	772	371
675	773	370
676	774	369
677	775	368
678	776	366
679	777	366
680	778	364
681	779	363
682	780	362
683	781	361
684	783	360
685	784	358
686	785	357
687	785	356
688	786	355
689	787	353
690	788	352
691	789	351
692	790	350
693	791	349
694	792	347
695	793	346
696	794	345
697	795	344
698	796	342
699	797	341
700	798	340
701	799	339
702	800	338
703	801	336
704	802	335
705	802	334
706	803	333
707	804	331
708	806	330
709	806	329
710	807	328
711	808	327
712	809	325
713	810	324
714	811	323
715	812	322
716	813	320
717	813	319
718	814	318
719	815	317
720	816	316
721	817	314
722	818	313
723	819	312
724	820	311
725	821	310
726	822	308
727	823	307
728	824	306
729	824	305
730	825	303
731	826	302
732	827	301
733	828	300
734	829	298
735	829	297
736	830	296
737	831	295
738	832	294
739	833	292
740	833	291
741	834	290
742	835	289
743	836	287
744	837	286
745	838	285
746	839	284
747	840	283
748	841	281
749	842	280
750	842	279
751	843	278
752	844	277
753	845	275
754	846	274
755	847	273
756	847	272
757	848	270
758	849	269
759	850	268
760	851	267
761	852	266
762	852	264
763	853	263
764	854	262
765	855	261
766	856	260
767	856	258
768	857	257
769	858	256
770	859	255
771	860	254
772	861	252
773	861	251
774	862	250
775	863	249
776	864	248
777	865	246
778	866	245
779	867	244
780	868	243
781	869	242
782	870	241
783	871	240
784	872	238
785	873	237
786	874	236
787	874	235
788	875	234
789	876	233
790	877	231
791	879	230
792	879	229
793	880	228
794	882	227
795	883	226
796	884	225
797	885	224
798	886	222
799	887	221
800	888	220
801	889	219
802	890	218
803	891	217
804	892	216
805	893	214
806	893	213
807	894	212
808	895	211
809	896	210
810	897	209
811	898	208
812	899	206
813	900	205
814	901	204
815	902	203
816	903	202
817	904	201
818	905	200
819	906	198
820	907	197
821	908	196
822	909	195
823	910	194
824	911	193
825	912	192
826	913	191
827	913	189
828	914	188
829	915	187
830	916	186
831	917	185
832	918	184
833	919	183
834	920	181
835	921	180
836	922	179
837	923	178
838	924	177
839	925	176
840	926	175
841	927	174
842	928	172
843	929	171
844	929	170
845	930	169
846	931	168
847	932	167
848	933	166
849	934	164
850	935	163
851	936	162
852	937	161
853	938	160
854	939	159
855	940	158
856	941	157
857	942	155
858	943	154
859	944	153
860	945	152
861	946	151
862	947	150
863	948	149
864	949	148
865	950	147
866	950	145
867	951	144
868	952	143
869	953	142
870	954	141
871	955	140
872	956	139
873	957	138
874	958	136
875	959	135
876	960	134
877	961	133
878	962	132
879	964	131
880	965	130
881	966	129
882	967	128
883	968	127
884	969	126
885	970	124
886	971	123
887	972	122
888	974	121
889	975	120
890	976	119
891	977	118
892	979	117
893	980	116
894	981	115
895	982	114
896	983	112
897	984	111
898	985	110
899	987	109
900	988	108
901	989	107
902	990	106
903	991	105
904	992	104
905	994	103
906	994	102
907	995	100
908	997	99
909	998	98
910	999	97
911	1000	96
912	1001	95
913	1002	94
914	1003	93
915	1004	92
916	1005	91
917	1006	89
918	1008	88
919	1009	87
920	1010	86
921	1011	85
922	1012	84
923	1013	83
924	1014	82
925	1015	81
926	1016	80
927	1017	78
928	1018	77
929	1019	76
930	1020	75
931	1021	74
932	1022	73
933	1023	72
934	1025	71
935	1026	70
936	1027	69
937	1028	67
938	1029	66
939	1030	65
940	1031	64
941	1032	63
942	1033	62
943	1034	61
944	1036	60
945	1037	59
946	1038	58
947	1039	56
948	1039	55
949	1040	54
950	1041	53
951	1042	52
952	1044	51
953	1045	50
954	1046	49
955	1047	48
956	1048	47
957	1049	45
958	1050	44
959	1051	43
960	1052	42
961	1053	41
962	1053	40
963	1054	39
964	1055	38
965	1056	37
966	1057	36
967	1058	35
968	1059	33
969	1060	32
970	1061	31
971	1062	30
972	1063	29
973	1064	28
974	1065	27
975	1066	26
976	1067	25
977	1067	24
978	1068	22
979	1069	21
980	1070	20
981	1071	19
982	1072	18
983	1073	17
984	1074	16
985	1075	15
986	1076	14
987	1077	13
988	1077	11
989	1078	10
990	1079	9
991	1080	8
992	1081	7
993	1082	6
994	1083	5
995	1084	4
996	1085	3
997	1085	2
998	1086	1
999	1087	0
